Child Product,CPG,Month,Shipment in Child Cases,PPG,Parent Prod, Shipment in parent Prod Cases ,Inventory_Parent_Cases
S1,C5,201801,26,P1,S1,26,0
S2,C5,201801,33,P1,S1,25,0
S3,C5,201801,270,P2,S3,270,0
S4,C2,201801,718,P3,S4,718,2
S4,C5,201801,"16,347",P3,S4,"16,347",0
S5,C5,201801,393,P4,S52,295,0
S6,C5,201801,175,P5,S6,175,0
S7,C5,201801,46,P6,S7,46,0
S8,C3,201801,340,P7,S8,340,1
S8,C5,201801,"2,903",P7,S8,"2,903",0
S8,C2,201801,411,P7,S8,411,3
S9,C5,201801,49,P8,S9,49,0
S10,C5,201801,40,P9,S10,40,0
S8,C1,201801,263,P7,S8,263,0
S11,C3,201801,17,P10,S11,17,1
S11,C5,201801,80,P10,S11,80,0
S11,C2,201801,12,P10,S11,12,0
S11,C1,201801,5,P10,S11,5,1
S12,C1,201801,"6,344",P11,S66,"6,344",25
S12,C2,201801,"3,702",P11,S66,"3,702",13
S13,C1,201801,"2,874",P12,S68,"2,874",31
S14,C2,201801,663,P12,S68,663,18
S12,C3,201801,"1,295",P11,S66,"1,295",14
S13,C3,201801,89,P12,S68,89,13
S17,C1,201801,318,P11,S66,318,22
S18,C2,201801,"1,809",P12,S68,"1,809",0
S19,C1,201801,836,P11,S66,836,5
S20,C5,201801,41,P13,S20,41,0
S18,C1,201801,"10,056",P12,S68,"10,056",6
S18,C3,201801,53,P12,S68,53,3
S19,C3,201801,28,P11,S66,28,0
S20,C1,201801,90,P13,S20,90,1
S20,C3,201801,205,P13,S20,205,1
S20,C2,201801,73,P13,S20,73,3
S21,C3,201801,125,P13,S21,125,0
S21,C2,201801,69,P13,S21,69,3
S21,C1,201801,176,P13,S21,176,0
S22,C5,201801,178,P14,S22,178,0
S23,C5,201801,225,P14,S23,225,0
S22,C3,201801,298,P14,S22,298,6
S23,C3,201801,139,P14,S23,139,3
S22,C2,201801,73,P14,S22,73,11
S23,C2,201801,53,P14,S23,53,2
S22,C1,201801,33,P14,S22,33,29
S23,C1,201801,28,P14,S23,28,2
S24,C3,201801,"1,294",P15,S63,"1,294",13
S24,C2,201801,"1,279",P15,S63,"1,279",0
S24,C1,201801,"6,892",P15,S63,"6,892",3
S1,C1,201801,5,P1,S1,5,0
S4,C1,201801,"1,195",P3,S4,"1,195",2
S5,C1,201801,629,P4,S52,472,1
S6,C1,201801,195,P5,S6,195,1
S7,C1,201801,28,P6,S7,28,1
S9,C1,201801,19,P8,S9,19,2
S25,C1,201801,"1,940",P16,S57,"1,940",3
S26,C1,201801,"1,864",P17,S31,"1,553",1
S27,C1,201801,"1,536",P17,S32,"1,280",2
S28,C1,201801,"1,072",P15,S63,"1,072",12
S1,C2,201801,14,P1,S1,14,1
S6,C2,201801,250,P5,S6,250,7
S9,C2,201801,40,P8,S9,40,1
S10,C2,201801,55,P9,S10,55,1
S3,C2,201801,14,P2,S3,14,1
S7,C2,201801,111,P6,S7,111,3
S29,C2,201801,16,P18,S29,16,1
S30,C2,201801,13,P19,S30,13,1
S2,C2,201801,84,P1,S1,63,0
S31,C2,201801,12,P17,S31,12,1
S1,C3,201801,33,P1,S1,33,1
S2,C3,201801,72,P1,S1,54,1
S2,C1,201801,51,P1,S1,38,1
S3,C3,201801,32,P2,S3,32,4
S3,C1,201801,29,P2,S3,29,0
S4,C3,201801,285,P3,S4,285,0
S5,C3,201801,119,P4,S52,89,1
S5,C2,201801,439,P4,S52,329,2
S6,C3,201801,"1,177",P5,S6,"1,177",12
S7,C3,201801,104,P6,S7,104,0
S9,C3,201801,90,P8,S9,90,1
S10,C3,201801,117,P9,S10,117,1
S10,C1,201801,24,P9,S10,24,0
S32,C3,201801,20,P17,S32,20,1
S31,C3,201801,391,P17,S31,391,3
S26,C3,201801,"2,072",P17,S31,"1,727",27
S26,C2,201801,"2,042",P17,S31,"1,702",2
S31,C1,201801,132,P17,S31,132,4
S27,C3,201801,850,P17,S32,708,11
S27,C2,201801,"2,073",P17,S32,"1,728",0
S30,C3,201801,30,P19,S30,30,1
S29,C3,201801,16,P18,S29,16,0
S29,C1,201801,3,P18,S29,3,2
S25,C3,201801,12,P16,S57,12,4
S33,C3,201801,317,P15,S62,317,17
S28,C2,201801,230,P15,S63,230,0
S25,C2,201801,235,P16,S57,235,1
S34,C1,201801,5,P19,S30,5,1
S1,C5,201802,10,P1,S1,10,0
S2,C5,201802,73,P1,S1,55,0
S3,C5,201802,20,P2,S3,20,0
S4,C2,201802,441,P3,S4,441,4
S4,C5,201802,"2,709",P3,S4,"2,709",0
S5,C5,201802,303,P4,S52,227,0
S6,C5,201802,158,P5,S6,158,0
S7,C5,201802,8,P6,S7,8,0
S8,C3,201802,223,P7,S8,223,1
S8,C5,201802,20,P7,S8,20,0
S8,C2,201802,152,P7,S8,152,3
S9,C5,201802,268,P8,S9,268,0
S10,C5,201802,140,P9,S10,140,0
S8,C1,201802,53,P7,S8,53,1
S11,C3,201802,20,P10,S11,20,2
S11,C2,201802,12,P10,S11,12,0
S11,C1,201802,7,P10,S11,7,0
S12,C1,201802,"1,586",P11,S66,"1,586",14
S12,C2,201802,"2,808",P11,S66,"2,808",19
S13,C1,201802,"8,027",P12,S68,"8,027",10
S13,C2,201802,62,P12,S68,62,2
S14,C2,201802,"2,089",P12,S68,"2,089",1
S12,C3,201802,"1,043",P11,S66,"1,043",6
S13,C3,201802,79,P12,S68,79,1
S19,C2,201802,282,P11,S66,282,82
S17,C2,201802,504,P11,S66,504,0
S17,C1,201802,"9,870",P11,S66,"9,870",7
S18,C2,201802,729,P12,S68,729,0
S20,C5,201802,57,P13,S20,57,0
S18,C1,201802,25,P12,S68,25,6
S18,C3,201802,37,P12,S68,37,2
S19,C3,201802,235,P11,S66,235,10
S14,C1,201802,"3,084",P12,S68,"3,084",15
S20,C1,201802,2,P13,S20,2,1
S20,C3,201802,8,P13,S20,8,0
S20,C2,201802,1,P13,S20,1,3
S21,C3,201802,7,P13,S21,7,2
S21,C2,201802,2,P13,S21,2,3
S21,C1,201802,4,P13,S21,4,0
S22,C5,201802,535,P14,S22,535,0
